Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100%_Completed	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Aura Kingdom	268420	Adventure, Casual, Free to Play, Massively Multiplayer, RPG	Anime, Free to Play, MMORPG, RPG, Massively Multiplayer, Adventure, PvE, Multiplayer, Fantasy, Open World, Character Customization, Action, JRPG, Cute, Magic, Third Person, Online Co-Op, Dungeon Crawler, Co-op, Exploration	8690	78.5	NA	446	9342	NA	X-Legend	Aeria Games	NA	X	OS: Windows XP, Windows Vista, Windows 7 (32bit\/64bit), Windows 8Processor: Intel Pentium4 2.8 GHz or better; AMD K8 2600 or betterMemory: 4 GB RAMGraphics: nVidia GeForce 6600 or better; ATI Redeon X1600 or betterDirectX: Version 9.0cStorage: 6 GB available space 	OS: Windows XP, Windows Vista, Windows 7 (32bit\/64bit), Windows 8Processor: Intel Core2 Duo 2.66 GHz or equivalent; AMD Athlon 64 X2 6000 or equivalentMemory: 4 GB RAMGraphics: nVidia GeForce 9500 or equivalent; ATI Radeon HD2600 or equivalentDirectX: Version 9.0cStorage: 6 GB available space
Automachef	984800	Indie, Simulation	Simulation, Indie, Puzzle, Automation, Resource Management, Funny, Programming, Cooking, Management, Singleplayer, Building, Casual	742	71.6	NA	26	75	NA	Rhombico Games	Team17 Digital Ltd	23-Jul-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Intel Core i5-2300 or AMD A8-5600KMemory: 4 GB RAMGraphics: GeForce GTX 550 Ti or Radeon HD 7770DirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX Compatible Sound Card 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel Core i5-4460 or Ryzen 3 2200GMemory: 8 GB RAMGraphics: GeForce GTX 950 or Radeon R9 290DirectX: Version 11Storage: 6 GB available spaceSound Card: DirectX Compatible Sound Card
A Valley Without Wind 2	228320	Action, Adventure, Indie, Strategy	Action, Indie, Strategy, Adventure, Platformer, Co-op, Procedural Generation, 2D, Singleplayer, Sci-fi, Experimental, Fantasy, Side Scroller, Multiplayer, Metroidvania, Rogue-lite, Great Soundtrack, Exploration, Controller, Magic	216	45.8	NA	9	0	NA	Arcen Games, LLC	Arcen Games, LLC	18-Feb-2013	NA	OS:Windows XP SP2 or later Processor:1.6Ghz CPU Memory:2 GB RAM Graphics:1024x768 or greater desktop screen resolution Hard Drive:1 GB HD space	NA
Avencast	46410	Action, Adventure, Indie, RPG	Action Roguelike, Hack and Slash, Dungeon Crawler, Action RPG, Action-Adventure, Rogue-like, Character Customization, RPG, Strategy, 3D, Isometric, Third Person, Top-Down, Choices Matter, Story Rich, Action, Casual, Dark Fantasy, Fantasy, Magic	648	68.8	NA	13	18	NA	ClockStone Studios	Meridian4	17-Mar-2010	NA	OS: Windows XP\/Vista\/7 Processor: 2.2 GHz Intel Pentium or 2200+ AMD Athlon processor Memory: 512 MB (1GB Vista) Hard Drive: 4.4 GB of free space Graphics: GeForce FX 5700 or better \/ ATI Radeon 9700 or better Sound: DirectSound compatible DirectX®: 9.0c	NA
Avernum 2: Crystal Souls	337850	Adventure, Indie, RPG, Strategy	RPG, Strategy, Indie, Adventure, Isometric, Fantasy, CRPG, Turn-Based, Singleplayer, Story Rich, Party-Based RPG, Old School, 2D, Retro, Grid-Based Movement	265	89.1	NA	36	102	NA	Spiderweb Software	Spiderweb Software	14-Jan-2015	NA	OS: VistaProcessor: 800 MhZ processorMemory: 512 MB RAMGraphics: OpenGL-compatibleStorage: 500 MB available space	NA
AVICII Invector	986800	Casual, Indie	Casual, Indie, Music, Rhythm, Multiplayer, 4 Player Local, Local Multiplayer	2734	96.8	NA	2	11	NA	Hello There Games	Wired Productions	10-Dec-2019	NA	OS: Windows® 8 (32\/64-bit)\/Windows 7\/Vista\/XPProcessor: 3 GHz Processor or betterMemory: 2 GB RAMGraphics: Direct X 11 compatible video card with minimum 512 MB RAMDirectX: Version 11Network: Broadband Internet connectionStorage: 2500 MB available space	NA
Axis Football 2021	1641830	Indie, Simulation, Sports, Strategy	Sports, Simulation, Strategy, Football (American), Indie, Moddable, 3D, Realistic, Management, Character Customization, PvP, Local Multiplayer, Singleplayer	127	63.8	NA	No time registered yet	No time registered yet	NA	Axis Games	Axis Games	26-Aug-2021	NA	OS: Windows 7 or higherProcessor: Quad Core Intel i5 or AMD equivalent 4 GHz+Memory: 8 GB RAMGraphics: 2 GB+DirectX: Version 10Storage: 4 GB available space	NA
A Year Of Rain	319540	Indie, RPG, Strategy	RTS, Base-Building, PvP, Co-op, Online Co-Op, Team-Based, Co-op Campaign, Competitive, Multiplayer, Classic, Strategy, Indie, RPG, e-sports, Real-Time, War, Tactical, Great Soundtrack, Magic, Replay Value	611	46.2	NA	No time registered yet	No time registered yet	NA	Daedalic Entertainment	Daedalic Entertainment	13-Mar-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 8 (8.1) 64BitProcessor: Intel® Core™ i5-4690K 3.50GHzMemory: 8 GB RAMGraphics: NVIDIA GTX 960 2GBDirectX: Version 11Network: Broadband Internet connectionStorage: 14 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 64BitProcessor: Intel® Core™ i7-4790K 4.00GHzMemory: 12 GB RAMGraphics: NVIDIA GTX 970 4GBDirectX: Version 11Network: Broadband Internet connectionStorage: 14 GB available space
Backfire	1331200	Action, Indie	NA	0	NA	NA	No time registered yet	No time registered yet	NA	Eathams	Eathams	27-Aug-2020	X	OS: Windows Vista, 7, 8, 8.1, 10Graphics: 512MBStorage: 20 MB available spaceAdditional Notes: If running Windows Vista or 7, you'll need DirectX 11 and the newest Service Packs.	NA
Back to the Future: Ep 1 - It's About Time	31290	Adventure	Adventure, Point & Click, Puzzle, Comedy, Funny, Singleplayer, Time Travel, Episodic, Story Rich, Retro, Classic, Cult Classic, Sci-fi, Escape Room	2286	88.3	NA	3	3	NA	Telltale Games	Telltale Games	23-Dec-2010	X	OS: XP Service Pack 3 \/ Vista \/ Windows 7 Processor: 1.8 GHz Pentium 4 or equivalent Memory: 2 GB RAM Graphics: ATI or NVidia card w\/ 256 MB RAM DirectX®: Direct X 9.0c Hard Drive: 2 GB Space Free Sound: Direct X 8.1 sound device  	OS: XP Service Pack 3 \/ Vista \/ Windows 7 Processor: 2.7 GHz Pentium 4 or equivalent Memory: 3 GB RAM Graphics: ATI or NVidia card w\/ 512 MB RAM DirectX®: Direct X 9.0c Hard Drive: 3 GB Space Free Sound: Direct X 8.1 sound device
Back to the Future: Ep 2 - Get Tannen!	94500		Point & Click, Adventure, Puzzle, Singleplayer, Episodic	185	89.2	NA	2	3	NA	Telltale Games	Telltale Games	NA	X	NA	NA
Back to the Future: Ep 3 - Citizen Brown	94510		Point & Click, Adventure, Episodic	173	90.2	NA	2	3	NA	Telltale Games	Telltale Games	NA	X	NA	NA
Back to the Future: Ep 4 - Double Visions	94520		Point & Click, Adventure, Episodic	163	89	NA	3	3	NA	Telltale Games	Telltale Games	NA	X	NA	NA
Back to the Future: Ep 5 - OUTATIME	94530		Point & Click, Adventure, Episodic	214	89.7	NA	2	3	NA	Telltale Games	Telltale Games	NA	X	NA	NA
Balloon Blast	1294720	Action, Casual, Indie	Action, Indie, Casual, Arcade, Multiplayer, Snow, First-Person	18	88.9	NA	No time registered yet	No time registered yet	NA	Leland Wilson	Leland Wilson	05-Apr-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 8Processor: Intel i7 - 3630QMMemory: 8 GB RAMGraphics: NVIDIA GeForce GT 740MStorage: 550 MB available space 	Requires a 64-bit processor and operating system
Balls of Steel	358430	Casual, Simulation	Pinball, Simulation, Casual	32	68.8	NA	1	0	NA	Wildfire Studios	3D Realms (Apogee Software)	NA	X	NA	NA
Barro 2020	1168660	Casual, Indie, Racing, Simulation, Sports	Indie, Racing, Multiplayer, PvP, Arcade, Driving, Sports, Automobile Sim, Immersive Sim, Simulation, Time Attack, Local Multiplayer, Singleplayer, Split Screen, Casual, Sequel, Pixel Graphics, Co-op, Family Friendly, e-sports	1171	83.7	NA	No time registered yet	No time registered yet	NA	SC Jogos	SC Jogos	01-Nov-2019	NA	OS: Windows 7 SP1+Processor: SSE2 instruction set supportMemory: 2 GB RAMGraphics: Graphics card with DX10 (shader model 4.0) capabilitiesStorage: 2 GB available space	NA
Barro F22	1958600	Casual, Indie, Racing	Indie, Racing, Multiplayer, PvP, Arcade, Driving, Sports, Automobile Sim, Immersive Sim, Simulation, Time Attack, Local Multiplayer, Singleplayer, Split Screen, Casual, 4 Player Local, Sequel, Local Co-Op, Action, Adventure	79	84.8	NA	NA	NA	NA	SC Jogos	SC Jogos	25-Apr-2022	NA	OS: Windows 7 SP1+Processor: SSE2 instruction set supportMemory: 2 GB RAMStorage: 2 GB available space	NA
Barro GT	1990740	Casual, Indie, Racing	Indie, Racing, Multiplayer, PvP, Arcade, Driving, Sports, Automobile Sim, Immersive Sim, Simulation, Time Attack, Local Multiplayer, Singleplayer, Split Screen, Casual, 4 Player Local, Sequel, Local Co-Op, Remake, Funny	106	90.6	NA	NA	NA	NA	SC Jogos	SC Jogos	19-May-2022	NA	OS: Windows 7 SP1+Processor: SSE2 instruction set supportMemory: 2 GB RAMStorage: 2 GB available space	NA
Bartlow's Dread Machine	1228870	Action	Action, Steampunk, Indie, Arcade, Shooter, Singleplayer, Twin Stick Shooter, Co-op, Local Co-Op, Retro, Bullet Hell, Top-Down Shooter, Stylized, Third Person, Alternate History, Shoot 'Em Up	59	89.8	NA	5	0	NA	Beep Games, Inc., Tribetoy	Beep Games, Inc.	29-Sep-2020	NA	OS: Windows 7Processor: i5-5200U 2.2 GhzMemory: 4 GB RAMGraphics: Nvidia GeForce GTX 660DirectX: Version 10Storage: 5 GB available space 	OS: Windows 10Processor: 3.2 GhzMemory: 8 GB RAMGraphics: Nvidia GeForce GTX 750tiDirectX: Version 10Storage: 5 GB available space
BASEBALL STARS 2	366230	Sports	Sports, Baseball, Arcade, Classic, Retro	83	73.5	NA	9	0	NA	SNK CORPORATION, Dotemu	SNK CORPORATION	27-Apr-2016	NA	OS: Windows Vista, 7, 8Processor: Pentium 4 2.4GhzMemory: 1 GB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0cStorage: 500 MB available space 	OS: Windows Vista, 7, 8Processor: 2 GHz Dual CoreMemory: 2 GB RAMGraphics: NVIDIA GeForce GT 640DirectX: Version 9.0cStorage: 500 MB available space
B A S E M E N T	722010	Indie	Indie, Horror, Historical	7	28.6	NA	10	28	NA	.	.	11-Oct-2017	X	OS: Windows XPProcessor: 2 GHzMemory: 1 GB RAMGraphics: GTX 560DirectX: Version 9.0Storage: 2 GB available space 	OS: Windows 7 and laterProcessor: 3.1 GHzMemory: 4 GB RAMGraphics: GTX 750DirectX: Version 9.0Storage: 2 GB available space
Basketing	1342900	Casual, Indie, Sports	Online Co-Op, Character Customization, 3D, Physics, Co-op, Multiplayer, Casual, Arcade, Sports, Funny, Family Friendly, 4 Player Local, Local Co-Op, Local Multiplayer, Split Screen, Retro, Relaxing, PvP, Team-Based, Minimalist	7	85.7	NA	NA	NA	NA	Gestalt Development Studio	Gestalt Development Studio	09-Jun-2022	NA	OS: Windows 7Processor: 1.8GHzMemory: 2048 MB RAMGraphics: 256MB - OpenGL 2.1+ (with ARB extensions acceptable)Storage: 16 MB available space	NA
Battlefleet Gothic: Armada	363680	Strategy	Strategy, Warhammer 40K, Space, RTS, Sci-fi, Games Workshop, Multiplayer, Singleplayer, Tactical, Real Time Tactics, Fantasy, Gothic, Action, Co-op, War, Great Soundtrack, Difficult, Dark Fantasy, Survival, Naval	5454	68.4	NA	21	39	NA	Tindalos Interactive	Focus Entertainment	21-Apr-2016	NA	OS: Windows 7, Windows 8.1, Windows 10 (64-bit versions only)Processor: AMD FX-4100 X4 (3,6 GHz)\/Intel Core i5-2500 (3,3 GHz)Memory: 4096 MB RAMGraphics: 1 GB, DirectX 11, AMD Radeon HD 6850\/NVIDIA GeForce GTX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: DirectX compatibleAdditional Notes: Internet connection required for online gaming and game activation 	OS: Windows 7, Windows 8.1, Windows 10 (64-bit versions only)Processor: AMD FX-8350 X8 (4,0 GHz)\/Intel Core i7-3770 (3,9 GHz)Memory: 8192 MB RAMGraphics: 2 GB, DirectX 11, AMD Radeon R9 270X\/NVIDIA GeForce GTX 760DirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: DirectX compatibleAdditional Notes: Internet connection required for online gaming and game activation
Battle of Brains	1231090	Casual, Indie	Trivia, Puzzle, Casual, Multiplayer, Logic, Education, 2D, Cartoon, Cartoony, PvP, Indie	6	50	NA	NA	NA	NA	Atomic Elbow	Atomic Elbow	15-Feb-2020	X	Requires a 64-bit processor and operating systemOS: Windows 10Network: Broadband Internet connection 	Requires a 64-bit processor and operating system
Battles of the Ancient World	385940	Strategy	Strategy	23	60.9	NA	No time registered yet	No time registered yet	NA	HexWar Games	HexWar Games	15-Sep-2017	NA	OS: Windows Vista\/7\/8\/8.1\/10Processor: Intel Core 2 Duo or AMD equivalentMemory: 2 GB RAMGraphics: OpenGL 2.1 supporting graphics cardStorage: 1 GB available space 	Graphics: Discrete graphics with 256 MB or more VRAM
Battlestations: Midway	6870	Action	Action, World War II, Naval, Naval Combat, Strategy, Flight, Simulation, Multiplayer, War, Singleplayer, RTS, Historical	803	77.5	NA	8	8	NA	Eidos Interactive	Square Enix	15-Mar-2007	NA	NA	NA
Battlestations: Pacific	8170	Action, Strategy	World War II, Strategy, Action, Naval, Simulation, RTS, Flight, Military, Naval Combat, Multiplayer, Singleplayer, Historical, Open World, War, Alternate History	2418	70.7	NA	11	13	NA	Eidos Studio Hungary	Square Enix	12-May-2009	X	                    OS: Microsoft Windows XP (admin rights required)\/Microsoft Windows Vista (admin rights required)                     Processor: Intel Pentium 4 3+GHz or AMD Athlon 2.5+GHz                      Memory: 1GB (Windows XP) \/ 2GB (Windows Vista) system memory                      Graphics: NVIDIA GeForce 6 series 6800GT (or better) \/ ATI 1800XT (or better)                     Hard Drive: 8 GB Free Space                      Sound: Direct X 9.0c compatible sound card and drivers                     	                    OS: Microsoft Windows XP (admin rights required)\/Microsoft Windows Vista (admin rights required)                     Processor: Intel Core 2 Duo 2.2 GHz or Athlon 64 X2 4400+                     Memory: 2 GB system memory                     Graphics: nVidia GeForce 9800 GTX or ATI HD4800                     Hard Drive: 8 GB Free Space                     Sound: Direct X 9.0c compatible sound card and drivers                     Input Devices: Keyboard and mouse \/ Xbox 360 Controller for Windows                    
Battletoads	1244950	Action, Adventure	Action, Adventure, Co-op, Fighting, Hand-drawn, Beat 'em up, Cartoon, Combat, 2D Platformer, Side Scroller, Multiplayer, Local Multiplayer, Cartoony, 2D Fighter, Retro, Arcade, Local Co-Op, Comedy, Great Soundtrack, Difficult	1730	69.8	NA	4	7	NA	Dlala Studios	Microsoft Studios, Rare Ltd	20-Aug-2020	NA	OS: Windows 10Processor: Pentium G620Memory: 8 GB RAMGraphics: Nvidia GTX 650 or AMD R7 250xDirectX: Version 11Storage: 15 GB available space 	OS: Windows 10Processor: AMD Phenom II x4 965Memory: 8 GB RAMGraphics: Nvidia GTX 650Ti or AMD R7 260DirectX: Version 11Storage: 15 GB available space
Beast Boxing Turbo	259490		Sports, Action, Boxing, Indie, Fighting, Female Protagonist	286	89.5	NA	1	2	NA		MumboJumbo	NA	X	OS: XP or greater	NA
Beast Quest	707060	Action, Adventure, RPG	Based On A Novel, Family Friendly, RPG, Adventure, Action, Singleplayer, Story Rich, Exploration, Third Person, Action RPG, 3D, Fantasy, Dragons, Magic, Open World, Turn-Based Combat, Nudity, Snow, Souls-like, Clicker	50	38	NA	6	11	NA	Torus Games	Maximum Games	13-Mar-2018	NA	OS: Windows 7, Windows 8, Windows 10Processor: 2.0 GHz Intel or equivalent AMD dual-core processorMemory: 2 GB RAMGraphics: Nvidia Geforce GTS 450 Series, AMD Radeon HD 6770 graphics card or better (min 1GB VRAM)Storage: 5 GB available space	NA
Beasts of Prey	299860	Action, Adventure, Indie, Massively Multiplayer	Early Access, Survival, Dinosaurs, Open World, Crafting, Sandbox, Multiplayer, Adventure, Massively Multiplayer, Action, First-Person, Indie, Building, FPS, Co-op, Hunting, Exploration, PvP, Walking Simulator, Strategy	2255	42.4	NA	No time registered yet	No time registered yet	NA	Denurea Invest	Denurea Invest	05-Jun-2014	X	OS: Windows XP or later (Vista\/7\/8)Processor: Intel\/AMD x32\/x64Memory: 2048 MB RAMGraphics: NVidia GeForce or AMDDirectX: Version 9.0cStorage: 1500 MB available space 	OS: Windows XP or later (Vista\/7\/8)Processor: i7 CPUMemory: 4096 MB RAMGraphics: NVidia GeForce 560GTX or higherDirectX: Version 9.0cStorage: 1500 MB available space
Beholder 2	761620	Adventure, Indie, Simulation, Strategy	Strategy, Dystopian , Choices Matter, Simulation, Political Sim, Story Rich, Singleplayer, Political, Atmospheric, Multiple Endings, Dark, Politics, Addictive, Point & Click, 2D, Lore-Rich, Adventure, Indie, Psychological Horror, Violent	5502	88.1	NA	11	19	NA	Warm Lamp Games	Alawar Premium	04-Dec-2018	NA	OS: Windows 7\/8\/10 (64-bit OS required)Processor: Intel Core 2 Quad Q6600 @ 2.4 GHz, AMD FX 8120 @ 3.1 GHzMemory: 4 GB RAMGraphics: NVIDIA GT 630 \/ 650m, AMD Radeon HD6570 or equivalentDirectX: Version 9.0cStorage: 4 GB available spaceSound Card: 100% DirectX 9.0c compatibleAdditional Notes: ADDITIONAL SYSTEM REQUIREMENTS: Loyalty to the System! Devotion to the State! Trust in the infallibility of the Wise Leader! Basic Bureaucracy skills. 	OS: Windows 8\/10 (64-bit OS required)Processor: Intel i7 920 @ 2.7 GHz, AMD Phenom II 945 @ 3.0 GHzMemory: 8 GB RAMGraphics: NVIDIA GTX 660, Radeon R9-270DirectX: Version 11Storage: 4 GB available spaceSound Card: 100% DirectX 9.0c compatible
Ben 10	703180	Action	Action, Family Friendly, Cartoony, Adventure, Cartoon, Fighting, Action-Adventure, Character Action Game, Beat 'em up, Singleplayer, Anime, Cult Classic	285	77.9	NA	2	7	NA	Torus Games	Outright Games Ltd.	15-Nov-2017	NA	Requires a 64-bit processor and operating systemOS: 7 \/ 8 \/ 10Processor: Intel Core 2 Quad Q6600 (2.4 GHz) or AMD equivalentMemory: 4 GB RAMGraphics: GeForce GT 430 (1024 MB)\/ Radeon HD 6850 (1024 MB)DirectX: Version 9.0cStorage: 3 GB available spaceSound Card: DirectX compatibleAdditional Notes: Windows Vista and DirectX® 9.0b and below not supported 	Requires a 64-bit processor and operating systemOS: 10Processor: Intel i5, 4 x 2.6 GHz or AMD equivalentMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better, 1Gb RAMDirectX: Version 11Storage: 5 GB available spaceSound Card: DirectX compatibleAdditional Notes: Windows Vista and DirectX® 9.0b and below not supported
Ben 10: Power Trip	1063040	Action, Adventure	Adventure, Open World, Action RPG, Sandbox, 3D Platformer, 3D, Cartoon, Cartoony, Third Person, Aliens, Family Friendly, Fantasy, Modern, Sci-fi, Co-op, Local Co-Op, Multiplayer, Local Multiplayer, Singleplayer, Action	170	85.9	NA	4	11	NA	PHL Collective	Outright Games Ltd.	09-Oct-2020	NA	OS: Windows 7 \/ 8 \/ 10Processor: Intel Core i5-2500K 3.3GHz \/ AMD FX-8150 3.6GHz or equivalentMemory: 4 GB RAMGraphics: GeForce GTX 550 Ti \/ Radeon HD 6790 2GB VRAM*DirectX: Version 11Sound Card: DirectX compatible soundcard 	OS: 64 bit Windows 7 \/ 8 \/ 10Processor: Intel Core i5-4460 3.2 GHz \/ AMD Ryzen 5 1600X 3.6GHzMemory: 8 GB RAMGraphics: GeForce GTX 960 \/ Radeon HD 7950 3GB VRAM*DirectX: Version 11Storage: 15 GB available spaceSound Card: DirectX compatible soundcard
Ben There, Dan That!	37420	Adventure, Indie	Point & Click, Adventure, Comedy, Indie, 2D, Singleplayer, Funny, Time Travel, Retro, 1990's, Cult Classic, Classic, Hand-drawn, Puzzle	621	80.5	NA	2	3	NA	Size Five Games	Size Five Games	25-Aug-2009	NA	OS: Windows Processor: Pretty much anything post-millennial, anything that runs DirectX 9.0c for particle effects. Memory: Anything over 256MB should do, anything that runs DirectX 9.0c for particle effects. Graphics:Any DirectDraw compatible. PixelShader 1.4\/ DirectX 9.0c capable card required for particle effects.  DirectX&reg;: 9.0c required for particle effects Hard Drive: 150 MB Sound: Any Windows-compatible soundcard	NA
BENTO GIRL	1576290	Casual, Indie	Casual, Dating Sim, Point & Click, Clicker, Anime, Cartoon, Hand-drawn, Indie, Female Protagonist, Singleplayer	21	61.9	NA	3	4	NA	amituof	amituof	25-Mar-2021	X	OS: Windows 10, 8, 7, VistaProcessor: Dual core 3Ghz+Memory: 400 MB RAMGraphics: GeForce GTX 260, Radeon HD 5770, 1024 MB, Shader Model 3.0Storage: 400 MB available spaceSound Card: DirectX compatible	NA
Beside Myself	1564110	Adventure, Indie, Simulation	Adventure, Simulation, Walking Simulator, 3D Platformer, Exploration, Hidden Object, 3D, Cinematic, First-Person, Psychedelic, Realistic, Atmospheric, Detective, Historical, Psychological Horror, Horror, Story Rich, Linear, Singleplayer, Gore	225	70.2	NA	1	2	NA	ASK_GAMES	ASK_GAMES	27-Jul-2021	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required)Processor: Intel® Core™ i5-3470 or AMD Ryzen™ 3 1200Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 760 2GB or AMD Radeon R9 280 3GBDirectX: Version 11Storage: 10 GB available space 	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 16 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB Video RAMDirectX: Version 11Storage: 10 GB available space
Between the Stars	727130	Action, Adventure, Indie, RPG, Simulation, Strategy, Early Access	RPG, Space, Action, Simulation, Indie, Strategy, Adventure, Space Sim, Early Access, Singleplayer, Sci-fi, Sandbox, Rogue-lite, Open World, 3D, Tactical RPG, Rogue-like, Survival, Action RPG, Exploration	1819	76.5	NA	No time registered yet	No time registered yet	NA	Isolated Games	Isolated Games, Poysky Productions, WhisperGames	28-May-2019	NA	Requires a 64-bit processor and operating systemOS: Win 7 SP1, Win 8.1 (64-bit Operating System Required)Processor: Intel Core i3-4330 @ 3.50GHz \/ AMD FX-4330Memory: 8 GB RAMGraphics: GeForce GTX 660 Ti \/ Radeon R9 270XDirectX: Version 10Storage: 5 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 64bitProcessor: Intel Core i5-2500K @ 3.30GHz \/ AMD FX-6300 Six-CoreMemory: 16 GB RAMGraphics: GeForce GTX 1060 \/ Radeon RX 470DirectX: Version 10Storage: 5 GB available space
Beyond: Two Souls	960990	Action, Adventure	Adventure, Choices Matter, Story Rich, Female Protagonist, Cinematic, Singleplayer, Emotional, Sci-fi, Dynamic Narration, Quick-Time Events, Third Person, Atmospheric, Narration, Horror, Thriller, Violent, Great Soundtrack, Beautiful, Co-op, Drama	15547	88.9	NA	11	28	NA	Quantic Dream	Quantic Dream	18-Jun-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 7 or later (64 bit)Processor: Intel Core i5-4430 @ 3.0 GHz or AMD FX-6300 @ 3.5 GHzMemory: 4 GB RAMGraphics: Nvidia GeForce GTX 660 with 2GB VRAM or AMD Radeon HD 7870 with 2GB VRAMDirectX: Version 11Storage: 49 GB available spaceAdditional Notes: 720p, 30 FPS 	Requires a 64-bit processor and operating systemOS: Windows 7 or later (64 bit)Processor: Intel Core i5-6600K @ 3.5GHz or AMD Ryzen 3 1300X @ 3.4GHzMemory: 8 GB RAMGraphics: Nvidia GeForce GTX 970 with 4GB VRAM or AMD Radeon R9 390 with 4GB VRAMDirectX: Version 11Storage: 49 GB available spaceAdditional Notes: 1080p, 60 FPS
Beyond Divinity	219760	RPG	RPG, Singleplayer, Isometric, Fantasy, Classic, Action RPG, Hack and Slash, Adventure, Atmospheric, Action, Great Soundtrack, CRPG	564	52.8	NA	20	56	NA	Larian Studios	Larian Studios	29-Oct-2012	NA	OS: Windows XP Processor: Pentium 4 1.4 GHz Memory: 256 MB RAM Graphics: DirectX compatible 3D card DirectX®: 9.0c Hard Drive: 2300 MB HD space Sound: DirectX compatible	NA
Big Dipper	984470	Indie, Simulation	Visual Novel, Drama, Fantasy, Stylized, Linear, Simulation, Anime, Romance, 2D, Indie, Singleplayer, Casual, Dating Sim, Cartoony, Atmospheric, Historical, Modern, Short, Nudity, Sexual Content	152	90.8	NA	2	2	NA	Team Zimno	Top Hat Studios Inc	07-Jan-2019	NA	OS: Windows 7+Processor: 1.2 GHz Pentium 4 or FasterMemory: 2 GB RAMStorage: 4 GB available space	NA
Bingo Hall	1219230	Casual, Indie	Casual, Indie, Board Game, Replay Value, Local Multiplayer	24	79.2	NA	NA	NA	NA	John Vieira	Angry Otter Games	21-Jan-2020	NA	OS: Windows Vista or newerProcessor: Intel Core i3 M380Memory: 2 GB RAMGraphics: Intel HD 4000DirectX: Version 10Storage: 181 MB available space	NA
Biology Battle	335080	Action, Casual, Indie, Strategy	Action, Indie, Casual, Strategy	67	58.2	NA	No time registered yet	No time registered yet	NA	Novaleaf Game Studios	Meridian4	NA	X	NA	NA
Bio Menace	358180	Action	Action, Platformer, Classic, 2D, Retro, Singleplayer, 1990's, Side Scroller	58	82.8	NA	7	13	NA	3D Realms (Apogee Software)	3D Realms (Apogee Software)	05-May-2014	X	OS: Windows XP, Windows Vista, Windows 7 or Windows 8Processor: Intel Core Duo 2Memory: 2 GB RAM	NA
Bionic Commando	21670	Action, Adventure	Action, Adventure, Third Person, Singleplayer, Great Soundtrack, Third-Person Shooter, Multiplayer, Shooter, Open World, Reboot, Platformer	1413	73.2	NA	7	17	NA	Capcom	Capcom	28-Jul-2009	NA	Supported OS: Windows® XP Service Pack 2 or Windows Vista® (service pack is optional)                         Processor: Dual-core processor (Intel® Core™2 Duo 2.4 GHz or AMD Athlon™ X2 5200+ 2.6 GHz)                          Memory: 1.5 GB RAM                          Graphics: DirectX®9.0c\/Shader3.0 compatible, VRAM 512 MB (NVIDIA® GeForce&amp;reg 7800 series or ATI Radeon™ X1900)                           Sound: DirectX®9.0c compatible sound cards      DirectX®: DirectX®9.0c                      Hard Drive: 8.0 GB free space          Peripherals: Keyboard and Xbox 360 controller supported        	NA
Bionic Commando Rearmed	21680	Action	Action, Platformer, Remake, Great Soundtrack, Local Co-Op, Local Multiplayer, Retro, 2D, Old School, Co-op, 4 Player Local, 2.5D, Arcade, Side Scroller, Difficult, Singleplayer	959	61.1	NA	5	14	NA	Capcom	Capcom	28-Jul-2009	NA	Supported OS: Windows® XP Service Pack 2 or Windows Vista™                          Processor: Intel Pentium 4 2 Ghz\/AMD XP 2200+                          Memory: 1 GB RAM                          Graphics: 128 MB DirectX 9c compatible card \/ nVIDIA GeForce 6600 GT \/ or ATI equivalent                           Sound: DirectX 9 compatible sound card      DirectX®: DirectX 9c                      Hard Drive: 650 MB free hard drive space          Peripherals: Keyboard and mouse, Xbox 360 controller supported        	NA
